Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Formatted Ins Name,Trading Symbol,Expiry Date,Lot Size,Tick Size
NFO,nse_fo,EICHERMOT,119187,OPTSTK,CE,3820,EICHER MOTORS LTD.,EICHERMOT DEC 3820 CE,EICHERMOT28DEC23C3820,12/28/2023,175,0.05
NFO,nse_fo,EICHERMOT,119188,OPTSTK,PE,3820,EICHER MOTORS LTD.,EICHERMOT DEC 3820 PE,EICHERMOT28DEC23P3820,12/28/2023,175,0.05
NFO,nse_fo,HAL,119189,OPTSTK,CE,1400,Hindustan Aeronautics Limited,HAL JAN24 1400 CE,HAL25JAN24C1400,1/25/2024,300,0.05
NFO,nse_fo,HAL,119190,OPTSTK,PE,1400,Hindustan Aeronautics Limited,HAL JAN24 1400 PE,HAL25JAN24P1400,1/25/2024,300,0.05
NFO,nse_fo,HAL,119191,OPTSTK,CE,1450,Hindustan Aeronautics Limited,HAL JAN24 1450 CE,HAL25JAN24C1450,1/25/2024,300,0.05
NFO,nse_fo,HAL,119192,OPTSTK,PE,1450,Hindustan Aeronautics Limited,HAL JAN24 1450 PE,HAL25JAN24P1450,1/25/2024,300,0.05
NFO,nse_fo,HAL,119193,OPTSTK,CE,1500,Hindustan Aeronautics Limited,HAL JAN24 1500 CE,HAL25JAN24C1500,1/25/2024,300,0.05
NFO,nse_fo,HAL,119194,OPTSTK,PE,1500,Hindustan Aeronautics Limited,HAL JAN24 1500 PE,HAL25JAN24P1500,1/25/2024,300,0.05
NFO,nse_fo,HAL,119195,OPTSTK,CE,1550,Hindustan Aeronautics Limited,HAL JAN24 1550 CE,HAL25JAN24C1550,1/25/2024,300,0.05
NFO,nse_fo,HAL,119196,OPTSTK,PE,1550,Hindustan Aeronautics Limited,HAL JAN24 1550 PE,HAL25JAN24P1550,1/25/2024,300,0.05
NFO,nse_fo,HAL,119197,OPTSTK,CE,1600,Hindustan Aeronautics Limited,HAL JAN24 1600 CE,HAL25JAN24C1600,1/25/2024,300,0.05
NFO,nse_fo,HAL,119198,OPTSTK,PE,1600,Hindustan Aeronautics Limited,HAL JAN24 1600 PE,HAL25JAN24P1600,1/25/2024,300,0.05
NFO,nse_fo,HAL,119199,OPTSTK,CE,1650,Hindustan Aeronautics Limited,HAL JAN24 1650 CE,HAL25JAN24C1650,1/25/2024,300,0.05
NFO,nse_fo,HAL,119200,OPTSTK,PE,1650,Hindustan Aeronautics Limited,HAL JAN24 1650 PE,HAL25JAN24P1650,1/25/2024,300,0.05
NFO,nse_fo,EICHERMOT,119201,OPTSTK,CE,3840,EICHER MOTORS LTD.,EICHERMOT DEC 3840 CE,EICHERMOT28DEC23C3840,12/28/2023,175,0.05
NFO,nse_fo,EICHERMOT,119202,OPTSTK,PE,3840,EICHER MOTORS LTD.,EICHERMOT DEC 3840 PE,EICHERMOT28DEC23P3840,12/28/2023,175,0.05
NFO,nse_fo,HAL,119203,OPTSTK,CE,1700,Hindustan Aeronautics Limited,HAL JAN24 1700 CE,HAL25JAN24C1700,1/25/2024,300,0.05
NFO,nse_fo,HAL,119204,OPTSTK,PE,1700,Hindustan Aeronautics Limited,HAL JAN24 1700 PE,HAL25JAN24P1700,1/25/2024,300,0.05
NFO,nse_fo,HAL,119205,OPTSTK,CE,1750,Hindustan Aeronautics Limited,HAL JAN24 1750 CE,HAL25JAN24C1750,1/25/2024,300,0.05
NFO,nse_fo,HAL,119206,OPTSTK,PE,1750,Hindustan Aeronautics Limited,HAL JAN24 1750 PE,HAL25JAN24P1750,1/25/2024,300,0.05
NFO,nse_fo,HAL,119207,OPTSTK,CE,1800,Hindustan Aeronautics Limited,HAL JAN24 1800 CE,HAL25JAN24C1800,1/25/2024,300,0.05
NFO,nse_fo,HAL,119208,OPTSTK,PE,1800,Hindustan Aeronautics Limited,HAL JAN24 1800 PE,HAL25JAN24P1800,1/25/2024,300,0.05
NFO,nse_fo,HAL,119209,OPTSTK,CE,1850,Hindustan Aeronautics Limited,HAL JAN24 1850 CE,HAL25JAN24C1850,1/25/2024,300,0.05
NFO,nse_fo,HAL,119210,OPTSTK,PE,1850,Hindustan Aeronautics Limited,HAL JAN24 1850 PE,HAL25JAN24P1850,1/25/2024,300,0.05
NFO,nse_fo,HAL,119211,OPTSTK,CE,1900,Hindustan Aeronautics Limited,HAL JAN24 1900 CE,HAL25JAN24C1900,1/25/2024,300,0.05
NFO,nse_fo,HAL,119212,OPTSTK,PE,1900,Hindustan Aeronautics Limited,HAL JAN24 1900 PE,HAL25JAN24P1900,1/25/2024,300,0.05
NFO,nse_fo,HAL,119213,OPTSTK,CE,1950,Hindustan Aeronautics Limited,HAL JAN24 1950 CE,HAL25JAN24C1950,1/25/2024,300,0.05
NFO,nse_fo,HAL,119214,OPTSTK,PE,1950,Hindustan Aeronautics Limited,HAL JAN24 1950 PE,HAL25JAN24P1950,1/25/2024,300,0.05
NFO,nse_fo,HAL,119215,OPTSTK,CE,2000,Hindustan Aeronautics Limited,HAL JAN24 2000 CE,HAL25JAN24C2000,1/25/2024,300,0.05
NFO,nse_fo,HAL,119216,OPTSTK,PE,2000,Hindustan Aeronautics Limited,HAL JAN24 2000 PE,HAL25JAN24P2000,1/25/2024,300,0.05
NFO,nse_fo,HAL,119217,OPTSTK,CE,2050,Hindustan Aeronautics Limited,HAL JAN24 2050 CE,HAL25JAN24C2050,1/25/2024,300,0.05
NFO,nse_fo,EICHERMOT,119234,OPTSTK,CE,3860,EICHER MOTORS LTD.,EICHERMOT DEC 3860 CE,EICHERMOT28DEC23C3860,12/28/2023,175,0.05
NFO,nse_fo,EICHERMOT,119235,OPTSTK,PE,3860,EICHER MOTORS LTD.,EICHERMOT DEC 3860 PE,EICHERMOT28DEC23P3860,12/28/2023,175,0.05
NFO,nse_fo,EICHERMOT,119236,OPTSTK,CE,3880,EICHER MOTORS LTD.,EICHERMOT DEC 3880 CE,EICHERMOT28DEC23C3880,12/28/2023,175,0.05
NFO,nse_fo,EICHERMOT,119237,OPTSTK,PE,3880,EICHER MOTORS LTD.,EICHERMOT DEC 3880 PE,EICHERMOT28DEC23P3880,12/28/2023,175,0.05
NFO,nse_fo,EICHERMOT,119238,OPTSTK,CE,3900,EICHER MOTORS LTD.,EICHERMOT DEC 3900 CE,EICHERMOT28DEC23C3900,12/28/2023,175,0.05
NFO,nse_fo,EICHERMOT,119239,OPTSTK,PE,3900,EICHER MOTORS LTD.,EICHERMOT DEC 3900 PE,EICHERMOT28DEC23P3900,12/28/2023,175,0.05
NFO,nse_fo,HAL,119252,OPTSTK,PE,2050,Hindustan Aeronautics Limited,HAL JAN24 2050 PE,HAL25JAN24P2050,1/25/2024,300,0.05
NFO,nse_fo,HAL,119253,OPTSTK,CE,2100,Hindustan Aeronautics Limited,HAL JAN24 2100 CE,HAL25JAN24C2100,1/25/2024,300,0.05
NFO,nse_fo,HAL,119254,OPTSTK,PE,2100,Hindustan Aeronautics Limited,HAL JAN24 2100 PE,HAL25JAN24P2100,1/25/2024,300,0.05
NFO,nse_fo,HAL,119255,OPTSTK,CE,2150,Hindustan Aeronautics Limited,HAL JAN24 2150 CE,HAL25JAN24C2150,1/25/2024,300,0.05
NFO,nse_fo,HAL,119256,OPTSTK,PE,2150,Hindustan Aeronautics Limited,HAL JAN24 2150 PE,HAL25JAN24P2150,1/25/2024,300,0.05
NFO,nse_fo,HAL,119257,OPTSTK,CE,2200,Hindustan Aeronautics Limited,HAL JAN24 2200 CE,HAL25JAN24C2200,1/25/2024,300,0.05
NFO,nse_fo,HAL,119258,OPTSTK,PE,2200,Hindustan Aeronautics Limited,HAL JAN24 2200 PE,HAL25JAN24P2200,1/25/2024,300,0.05
NFO,nse_fo,HAL,119259,OPTSTK,CE,2250,Hindustan Aeronautics Limited,HAL JAN24 2250 CE,HAL25JAN24C2250,1/25/2024,300,0.05
NFO,nse_fo,HAL,119260,OPTSTK,PE,2250,Hindustan Aeronautics Limited,HAL JAN24 2250 PE,HAL25JAN24P2250,1/25/2024,300,0.05
NFO,nse_fo,HAL,119261,OPTSTK,CE,2300,Hindustan Aeronautics Limited,HAL JAN24 2300 CE,HAL25JAN24C2300,1/25/2024,300,0.05
NFO,nse_fo,HAL,119262,OPTSTK,PE,2300,Hindustan Aeronautics Limited,HAL JAN24 2300 PE,HAL25JAN24P2300,1/25/2024,300,0.05
NFO,nse_fo,HAL,119263,OPTSTK,CE,2350,Hindustan Aeronautics Limited,HAL JAN24 2350 CE,HAL25JAN24C2350,1/25/2024,300,0.05
NFO,nse_fo,HAL,119264,OPTSTK,PE,2350,Hindustan Aeronautics Limited,HAL JAN24 2350 PE,HAL25JAN24P2350,1/25/2024,300,0.05
NFO,nse_fo,HAL,119265,OPTSTK,CE,2400,Hindustan Aeronautics Limited,HAL JAN24 2400 CE,HAL25JAN24C2400,1/25/2024,300,0.05
NFO,nse_fo,HAL,119266,OPTSTK,PE,2400,Hindustan Aeronautics Limited,HAL JAN24 2400 PE,HAL25JAN24P2400,1/25/2024,300,0.05
NFO,nse_fo,HAL,119267,OPTSTK,CE,2450,Hindustan Aeronautics Limited,HAL JAN24 2450 CE,HAL25JAN24C2450,1/25/2024,300,0.05
NFO,nse_fo,HAL,119268,OPTSTK,PE,2450,Hindustan Aeronautics Limited,HAL JAN24 2450 PE,HAL25JAN24P2450,1/25/2024,300,0.05
NFO,nse_fo,LT,119324,OPTSTK,CE,2340,LARSEN & TOUBRO LTD.,LT NOV 2340 CE,LT30NOV23C2340,11/30/2023,300,0.05
NFO,nse_fo,LT,119325,OPTSTK,PE,2340,LARSEN & TOUBRO LTD.,LT NOV 2340 PE,LT30NOV23P2340,11/30/2023,300,0.05
NFO,nse_fo,LT,119326,OPTSTK,CE,2360,LARSEN & TOUBRO LTD.,LT NOV 2360 CE,LT30NOV23C2360,11/30/2023,300,0.05
NFO,nse_fo,LT,119327,OPTSTK,PE,2360,LARSEN & TOUBRO LTD.,LT NOV 2360 PE,LT30NOV23P2360,11/30/2023,300,0.05
NFO,nse_fo,LT,119328,OPTSTK,CE,2380,LARSEN & TOUBRO LTD.,LT NOV 2380 CE,LT30NOV23C2380,11/30/2023,300,0.05
NFO,nse_fo,LT,119329,OPTSTK,PE,2380,LARSEN & TOUBRO LTD.,LT NOV 2380 PE,LT30NOV23P2380,11/30/2023,300,0.05
NFO,nse_fo,LT,119330,OPTSTK,CE,2400,LARSEN & TOUBRO LTD.,LT NOV 2400 CE,LT30NOV23C2400,11/30/2023,300,0.05
NFO,nse_fo,LT,119331,OPTSTK,PE,2400,LARSEN & TOUBRO LTD.,LT NOV 2400 PE,LT30NOV23P2400,11/30/2023,300,0.05
NFO,nse_fo,LT,119334,OPTSTK,CE,2420,LARSEN & TOUBRO LTD.,LT NOV 2420 CE,LT30NOV23C2420,11/30/2023,300,0.05
NFO,nse_fo,LT,119335,OPTSTK,PE,2420,LARSEN & TOUBRO LTD.,LT NOV 2420 PE,LT30NOV23P2420,11/30/2023,300,0.05
NFO,nse_fo,LT,119336,OPTSTK,CE,2440,LARSEN & TOUBRO LTD.,LT NOV 2440 CE,LT30NOV23C2440,11/30/2023,300,0.05
NFO,nse_fo,LT,119337,OPTSTK,PE,2440,LARSEN & TOUBRO LTD.,LT NOV 2440 PE,LT30NOV23P2440,11/30/2023,300,0.05
NFO,nse_fo,LT,119338,OPTSTK,CE,2460,LARSEN & TOUBRO LTD.,LT NOV 2460 CE,LT30NOV23C2460,11/30/2023,300,0.05
NFO,nse_fo,LT,119339,OPTSTK,PE,2460,LARSEN & TOUBRO LTD.,LT NOV 2460 PE,LT30NOV23P2460,11/30/2023,300,0.05
NFO,nse_fo,LT,119340,OPTSTK,CE,2480,LARSEN & TOUBRO LTD.,LT NOV 2480 CE,LT30NOV23C2480,11/30/2023,300,0.05
